target,tweet
1,NYPD calling Level 3 mobilization (borough-wide) for possible train derailment near Spuyten Duyvil Metro North station in the Bronx
1,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.
1,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.
1,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.
1,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.
1,RT @ajamlive: Police: A Metro-North passenger train has derailed in New York City; some cars in water-@AP #breaking
1,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.
1,RT @BreakingNews: Police say a Metro-North passenger train has derailed in New York City; some cars in water - @AP
1,RT @YourAnonNews: Metro-North passenger train has derailed in New York City; some cars in water: AP
1,RT @FreedomWeekly: BREAKING: Police Say a Metro-North Passenger Train Has Derailed in New York City; Some Cars in Water #NYC  http://t.co/z…
1,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.
1,"RT @BBCBreaking: A Metro-North passenger train has derailed in New York City, and a number of injuries are reported http://t.co/fISiSFeTm7"
1,RT @BreakingNews: Unknown number of injuries in New York City train derailment near Metro-North Spuyten Duyvil station in the Bronx - @CBSN…
1,RT @ecthompsonmd: RT @AP: MORE: A woman at the scene of an NYC train derailment says some train cars are in the water: http://t.co/GWhgXC3j…
1,"RT @BBCBreaking: A Metro-North passenger train has derailed in New York City, and a number of injuries are reported http://t.co/fISiSFeTm7"
1,THERE HAS BEEN ONE FATALITY SO FAR AT THE METRO NORTH DERAILMENT IN BRONX NYC #BREAKING
1,Train derailed in New York! Hope everyone's ok👏
1,"RT @BreakingNews: Numerous emergency vehicles responding to New York City train derailment, some trains submerged in water, eyewitness clai…"
1,"Train crash in New York, helicopter crash in Glasgow, Paul Walker has died...this really is an awful week!"
1,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.
1,RT @BreakingNews: Police say a Metro-North passenger train has derailed in New York City; some cars in water - @AP
1,Train na naman!!--&gt;“@ANCALERTS: Police say a Metro-North passenger train has derailed in New York City; some cars in water | via @AP”
1,"RT @BreakingNews: Train involved in derailment was the 05:54 a.m. train from Poughkeepsie, New York, due at Grand Central at 07:43 a.m. - @…"
1,"RT @BreakingNews: Train involved in derailment was the 05:54 a.m. train from Poughkeepsie, New York, due at Grand Central at 07:43 a.m. - @…"
1,RT @nycjim: Wow. “@NJerzyFireAlert: AERIAL PICTURE METRO NORTH TRAIN DERAILMENT IN BRONX NYC. @PzFeed http://t.co/yU2ZxnFY9r”
1,"Now a train has derailed in New York...what is happening to this world?!,"
1,RT @PzFeed: TRAIN DERAILMENT IN NEW YORK CITY: -5 TRAINS DERAILED -TRAIN IN THE WATER -3 DEAD -MULTIPLE INJURED http://t.co/TG6cAxsxyS
