target,tweet
1,RT @mariexplorer: Good morning #cebu #sea #paradise #philippines #ocean http://t.co/lMOuXMRIZe
1,Where is Liloan Central Field and how do we get there? What are the landmarks? Thank you. @CebuRetweets #cebu
1,"Earthquake in Iloilo, Philippines! My head's aching."
1,"RT @LastQuake: NEW: Felt #earthquake M7.0 - Bohol, Philippines - October 15, 2013, 00:12 UTC (7 min ago) http://t.co/Q2wT2fxoH0"
1,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... httpâ€_"
1,"RT @gmanews: JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via @NewEarthquake @USGS"
1,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... httpâ€_"
1,"RT @gmanews: JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via @NewEarthquake @USGS"
1,RT @BreakingNews: 7.2 earthquake recorded in the Philippines' Bohol province - @usgs http://t.co/sVOzYsZR5X
1,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... httpâ€_"
1,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... httpâ€_"
1,"RT @NWS_PTWC: NO widespread tsunami hazard for 7.2 magnitude earthquake in Mindanao,  Philippines #tsunami #PTWC http://t.co/lwjSP8Su1p"
1,"Southern Philippines hit by 7.4 magnitude earthquake, no threat of Pacific-wide tsunami."
1,BendÃ_cenos SeÃ±or por el terremoto terrible. #PrayforPhilippines #Philippines #Dumaguete #earthquake
1,RT @LanceUlanoff: 7.2 Earthquake in Philippines just now http://t.co/MeXQZHjdNt via: @dorybenami
1,"RT @ABC7: #EARTHQUAKE Quake with prelim mag of 7.2 struck Philippines, 25 miles east-northeast of Tagbilaran, Bohoi; no tsunami warning yet"
1,RT @RT_com: #BREAKING: 7.2 quake hits southern #Philippines; no threat of Pacific-wide tsunami http://t.co/0J6Eg19Gws
1,It's a good thing the kids are at home today. #earthquake #bacolod #philippines
1,"Magnitude 7.4 quake hits Philippines, no tsunami threat: SYDNEY (Reuters) - An earthquake with a preliminary m... http://t.co/UTzExxP76A"
1,"RT @NWS_PTWC: NO widespread tsunami hazard for 7.2 magnitude earthquake in Mindanao,  Philippines #tsunami #PTWC http://t.co/lwjSP8Su1p"
1,"USGS M 7.2, 5km E of Balilihan, Philippines: Tuesday, October 15, 2013 00:12:37 UTCTuesday, Octobe... http://t.co/UxYqnxv1b7 #earthquake"
1,"RT @YouScoop: PHOTO: Magnitude 7.2 quake 5KM E of Balilihan, Bohol, Philippines. Please stay safe. http://t.co/S2Dzdyaxm6"
1,"#Temblorâ™¨ M 5.4, 6km NNE of Nueva Fuerza, Philippines http://t.co/4hpmJmNcc2 #Earthquake #Sismo"
1,"RT @YouScoop: PHOTO: Magnitude 7.2 quake 5KM E of Balilihan, Bohol, Philippines. Please stay safe. http://t.co/sKK8NZx49J"
1,"RT @Tweetbrk: NEW: Significant preliminary 7.2 magnitude earthquake just off Nueva Vida Sur, Philippines - @MicahGrimes"
1,RT @hamburqa: there was a 7.2 magnitude earthquake in philippines after u posted that G.U.Y. snippet. THIS WORLD CAN'T HANDLE #ARTPOP. @ladâ€_
1,National Disaster Agency: 4 people killed in building collapse in Cebu after Philippines quake - @Reuters
1,A 7.4 magnitude #earthquake has hit the southern #Philippines. There's no threat of a #tsunami.
1,"RT @BreakingNews: 4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency - @Reuters"
1,RT @joshdanieldlr: Just a strong earthquake recently happened... let's pray 4 those who were badly affected... God bless us. #cebu
1,7.4 quake strikes Philippines http://t.co/CYFzDjMH8X
1,"RT @BreakingNews: 4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency - @Reuters"
1,"RT @YahooNews: Magnitude 7.4 quake hits Philippines, no tsunami threat: http://t.co/UikcL2p11t"
1,RT @ilovejamich: Magnitude 7.2 #earthquake in Bohol :( Pagdasal natin lahat ng apektado. Sana maging safe ang lahat. #PrayForBohol #Philippâ€_
1,"RT @cnni: A 7.2-magnitude earthquake has struck in the southeastern Philippines, the U.S. Geological Survey says. http://t.co/3jwtWsTrP9"
1,"#earthquake M7.2: Bohol, Philippines http://t.co/mcLjuPxXBX"
1,"Lord God, keep the people safe in the Philippines  #earthquake"
1,"RT @abcnews: #Breaking: #Earthquake measuring 7.4 hits southern Philippines, says USGS"
1,7.2 quake hits southern Philippines http://t.co/XB9WUM3B7V
1,Major earthquake hits the Philippines http://t.co/uS0nhcvUl6
1,#Jackrobinson73 7.2-earthquake hits Philippines http://t.co/g1fzaRGjnp #Jackrobinson73
1,Major quake hits Philippines http://t.co/fHHxr8iWrg
1,Breaking: A 7.2 earthquake just hit Bohol in central Philippines.
1,"RT @BBCBreaking: At least four killed in building collapse after 7.2 magnitude earthquake in Philippines near Cebu, officials say"
1,RT @EarthAlerts: #earthquake: M 7.2 - Pacific Ocean - West Philippines [Central Visayas] Buenavista: Preliminary Earthquake Rep... http://tâ€_
1,RT @SmileForDaniel: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas _Ÿ™è
1,"@BBCBreaking: At least four killed in building collapse after 7.2 magnitude earthquake in Philippines near Cebu, officials say _Ÿ˜¢"
1,RT @mindanaoan: Is this in #Bohol Robert? OMG so heartbreaking!!! #earthquake RT @tokyodrastic: 400 year old tower collapsed... http://t.coâ€_
1,RT @SmileForDaniel: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas _Ÿ™è
1,Major earthquake hits the Philippines http://t.co/uI8F8FeCsa
1,"7.2 Quake Hits Central Philippines, Killing 4: 7.2-magnitude quake hits central Philippine island, killing at ... http://t.co/kt6daIcIei"
1,"7.2 Quake Hits Central Philippines, Killing 4: 7.2-magnitude quake hits central Philippine island, killing at ... http://t.co/HekKxVreiN"
1,'Four killed' by Philippines quake http://t.co/MWs7ccLiPP
1,RT @jerminix: Grabbed pic from the #earthquake aftermath.. stay safe everyone #cebu @sunstarcebu @gmanews @GMANewsOnline http://t.co/IYVXRBâ€_
1,"7.2 quake his Philippines: MANILA, Oct. 14 (UPI) --  A magnitude-7.2 earthquake hit the Philippines Tuesday mo... http://t.co/1jAZw4Tpm1"
1,@SmileForDaniel: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas _Ÿ™è
