target,tweet
0,@CHRIS_Daughtry Oh no!  So sad. 
0,@JohnLloydTaylor Wish I could go to Australia someday! Even though I probably will never  Well...California FIRST
0,@junesummers omg... where are you...... I need a big brother that's not sooo busy 
0,Imagine seeing a cute girl then when you ask for her name she sounds like a chain smoker old man... that is me  I hate being sick!
0,had so much... but its over and its FINALS time!!!  thank god PCL will be open 24/7!!!
0,Cher yells at paparazzi following her on her bike. Poor Cher -- give her some privacy  http://tinyurl.com/c6v8o6 #cher #paparazzi
0,"It's for real this time, Jesus (the fish) is dead. Will someone come flush/bury him for me?  I just don't have the heart to do it  myself "
0,Allergies i hate you  and you dont help anything especially when i have three trees in my backyard with flowers on them 
0,@ImaPiscesSoul yeah rained most of the weekend...yesterday wasnt bad but i didnt have time to hop on..back to work without my release 
0,"Phew! Finally finished...been working most of the day, and I'm beat! Not my preferred way to spend Sundays "
0,i love you guys i don't want you to leave!!! 
0,@Rpattzson pretty scary...did you get to keep your dazzle or did they search you 
0,Paper round early tomorrow 
0,lol now yall aint talking to me 
0,cant wait to get back to atlanta... 
0,Down in the dumps 
0,Red wines done! I've been stuck in the apt all day 
0,HIVES - HIVES - Everywhere!  And SNOT - don't forget the SNOT.  A good reminder as to why I hate going outside at this time of year 
0,@alli3kinz I kno  it faded!!! 
0,My neighbors are fighting 
0,being pissed offf at my brothers gf!! 
0,"@rylon No bank holiday here, just a really crappy weekend.    Has to get better though, eh?"
0,It just won't go away   I hate bugs especially big spiderish mosquito ones that like to be by beds where ppl innocently sleep!
0,@monikamcg When I send pics to Twitterberry to send to Twitpic it never sends..just sits there and sits there. 
0,my arm really hurts 
0,being assaulted by a moth and i've just slapped myself thinking it was on my cheek. it wasn't 
0,"Stay tuned on DNA and fake heart, etc. I keep talking it up, but it's ~ a week off. Robo-bat is done, but not being released untl July. "
0,@chaotic_barb Sounds a lot like NM. Sorry hun 
0,@Kaiyov TRUTH!!! damn I miss rite aid! Walgreens doesnt have ice cream 
0,i am frkn falling asleep i want to cook and bake and cook arghhhhhhh 
0,Comforting my 2-year-old that recently broke her arm 
0,dang it i cant believe the nuggets beat the mavs 
0,Ugh bamboozle 09 was out of control. Almost over 
0,@centerstage09 Haven't seen it!  lmaooo
