target,tweet
1,KING D ROYALTY http://t.co/eXjB4V0rbx â€_ #LA #LAX #OAKLAND #SF #BAYAREA #VEGAS #LOSANGELES #CALI #SEO #SMM #WP #OC #MUSIC #BLOGS #TURNUP 34
1,KING D ROYALTY http://t.co/2RJIrrnlOi â€_ #LA #LAX #OAKLAND #SF #BAYAREA #VEGAS #LOSANGELES #CALI #SEO #SMM #WP #OC #MUSIC #BLOGS #TURNUP 81
1,Something's happening @ #LAX rt now!! Re-tweet.
1,"#KourtneyKardashian is seen arriving at #LAX airport on October 31, 2013 in Los Angeles http://t.co/NVd0gvPZy1"
1,"What the hell is going on at LAX, and why does something bad ALWAYS happen at an airport on days that I fly? Explain, @jonostrower."
1,RT @efink: Gunfire on the tarmac. RT @CBSLA #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/cRQ5HzFgJO
1,Gunshots outside #LAX. Unknown if anyone is injured. Prayers go out to you all.
1,Shooting in Terminal 3? Hard to get specifics. RT @TOPolk What the hell is going down at #LAX?
1,RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down. Suspect down.
1,RT @charlescwcooke: California should pass gun control. RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims downâ€_
1,RT @jforstrom: At #lax. Just had to run onto runway because of shooting in terminal 2 http://t.co/4ZHVCcVmVX
1,"RT @NewsBreaker: EYEWITNESS: @ToryBelleci reports hearing gun shots, then everyone starting running for the door. Outside now @ #LAX httpâ€_"
1,"Shots fired, airport evacuated at #LAX is what im seeing all over my timeline."
1,RT @AustinCrossCBS: Reports saying a TSA agent and the shooting suspect have been shot. #LAX
1,RT @LASportsRadio: Some guy just got into the LAX airport with a rifle.  Last week LAX security confiscated my hair gel.
1,RT @WLTX: #BREAKING: Gunfire reported Los Angeles airport (#LAX) terminal 3. Pic via Fox Sports reporter @foxsportsreiter http://t.co/cbPt6â€_
1,"_Ÿ˜” RT @msnbc: BREAKING: Reports of shots fired at LAX Airport, says senior government official. Stay with @msnbc for the latest."
1,RT @ABC7News: JUST IN per @911LAPD: Police are responding to a major incident at #LAX. http://t.co/sCgUph2DnU
1,RT @jforstrom: At #lax. Just had to run onto runway because of shooting in terminal 2 http://t.co/4ZHVCcVmVX
1,LAX Airport evacuated after reports of shooting http://t.co/RxZrFn8d1Q
1,"RT @msnbc: BREAKING: Reports of shots fired at LAX Airport, says senior government official. Stay with @msnbc for the latest."
1,RT @CBCAlerts: Reports of gunfire at the Los Angeles airport. Police say 'major incident' underway. No word on victims. #LAX
1,RT @KIRO7Seattle: RT @CBSLA: #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/qkNvtvOLpp
1,RT @grantimahara: Something just happened at #LAX. TSA and police running everywhere.
1,RT @grasswire: Person on stretcher loaded into ambulance at #LAX http://t.co/25FzgNKvcn
1,LAX Airport being evacuated. Shots fired. Boo.
1,Good heavens! Hope all tuns out well at #LAX Please stay safe everyone. Also AVOID LAX airport right now! #Terminal3
1,DEVELOPING: There has been an incident at Los Angeles Intl Airport. Reports are there was a shooting | http://t.co/t65AUJwquP
1,RT @WLTX: #BREAKING: Gunfire reported Los Angeles airport (#LAX) terminal 3. Pic via Fox Sports reporter @foxsportsreiter http://t.co/cbPt6â€_
1,RT @CBSLA: #UPDATE: Arrival/departure roads closed at #LAX after reports of shots fired in Terminal 3. http://t.co/1bu3zuzflK
1,RT @pornlaw: Shooting at LAX... TSA employee shot. News is reporting that the shooter might have a machine gun/assault rifle....
1,RT @katemather: En route to #LAX. Updates as they come @LANow.
1,RT @thinkprogress: Early reports indicate there were two victims down in Terminal 3 at LAX shooting http://t.co/GORdwvqYdS
1,RT @thinkprogress: REPORT: Shooting at Los Angeles airport http://t.co/A9Ad45coky
1,RT @CaptDaveOnAir: Reports of man with rifle opened fire in terminal 3 at #LAX
1,"How did he get a rifle past security? He SHOT his way through, obviously. #LAX"
1,Reported: Shots fired at LAX...wounded shown leaving airport http://t.co/t5znwUcrMb
1,"RT @LATimescitybeat: Frightening scene at LAX, with TSA agent shot, suspect wounded, according to sources. http://t.co/t29Dw05cXQ"
1,#LAX: Passengers at Terminal 3 of Los Angeles airport evacuated shortly after 9 am local time http://t.co/EqIBSayi5g http://t.co/3Lmnjdv6Wq
1,RT @EdJoyce: Los Angeles Airport Police Friday confirmed a shooting took place in Terminal 3 at LAX. Via @CBSLA  http://t.co/ow4OlbjxZS #brâ€_
1,RT @GeekNation: Early reports of a shooting at LAX. Terminal being evacuated and all flights postponed.  #LAX
1,RT @NBCNews: More: Two victims shot by suspect in LAX reportedly using a rifle
1,"My dad and my uncle spend so much time at the airport, I'm so thankful they were both home and safe during the LAX shooting"
1,RT @Mediaite: WATCH LIVE: Terminal 3 Evacuated After Shooting Incident Reported at LAX Airport http://t.co/nCkHRaYmZs via @mediaite
1,"RT @msnbc: BREAKING: Reports of shots fired at LAX Airport, says senior government official. Stay with @msnbc for the latest."
1,RT @TheAtlanticWire: Live: Shooting reported at Los Angeles International Airport http://t.co/CFOXiFrCOv
1,RT @PzFeed: BREAKING NEWS: AT LEAST 2 PEOPLE SHOT AT LAX AIRPORT TERMINAL 3. SUSPECT USED A RIFLE. MAJOR CRIME SCENE.
1,RT @nbcnightlynews: BREAKING: Shooting reported at Los Angeles Int'l Airport Terminal 3; WATCH LIVE coverage via @NBCLA http://t.co/x1nQ14Vâ€_
1,RT @LANow: LAX shooting: 1 TSA agent has been shot and a suspect has been wounded according to sources. http://t.co/6LqVr2AoG4
1,KTLA news reporting shooting victim at LAX appears to be TSA agent. Anchor: Not clear motive or number of suspects. Rapidly unfolding #LAX
1,RT @LAX_Official: Airport officials confirm police incident began at 9:30 a.m. @ Terminal 3 at LAX. More info to come.
1,RT @News1130radio: UPDATE: There are unconfirmed reports a TSA agent was shot at #LAX. Terminals evacuated.
1,Thoughts and prayers to any possible victims at LAX
1,"RT @BBCBreaking: Police responding to incident at Terminal 3 of Los Angeles #LAX airport in US, @LAX_Official says"
1,Thoughts and prayers go out to everyone involved in the ongoing shooting at the LAX Airport. Unfortunate  situation! #StayStrong
1,RT @IglooMediaBase: Shots fired at the LAX international airport which is now being evacuated
1,RT @LAX_Official: Airport officials confirm police incident began at 9:30 a.m. @ Terminal 3 at LAX. More info to come.
1,RT @USATODAY: MT @911LAPD: â€œ@CHPsouthern: Avoid #LAX at this time. Century Blvd. closed prior to airport entrance. Call airline for infoâ€ù #â€_
1,"RT @kron4news: BREAKING: LAPD say shots were fired at #LAX, multiple people injured. http://t.co/SIXzgjJ2S8"
1,Just heard the news about #LAX. This is insane.
1,RT @RickMontanez: #BREAKING: Witness on-air now on @abc7 says he heard three shots at #LAX. Live coverage on @abc30's website. http://t.co/â€_
1,Shooting Prompts Evacuation Of Terminal 3 At #LAX http://t.co/Ysrnvk8nlP #NEWS
1,RT @PzFeed: SHOOTING AT LAX AIRPORT: -AT LEAST 2 PEOPLE SHOT -8-10 SHOTS FIRED -SUSPECT HAD A RIFLE -TERMINAL 3 EVACUATED
1,Trying to find out what happened at #LAX. Apparently there was a shooting
1,RT @W7VOA: #LAX is NOT shut down. You can listen to various tower/ground control traffic here: http://t.co/A5NzFx7Jee
1,@piersmorgan so gun control again today? #LAXshooting
1,Hope u r not trying to fly in or out of #LAX right now...shots fired at security check point rightâ€_ http://t.co/07Kh3H0M6D
1,So my friends were at the lax airport when the jolting happened like an hour ago whaaaaat
1,"CNN Airport officials said a police incident began about 9:30 a.m. at Terminal 3 at #LAX, airport spokeswoman @News12LI"
1,"RT @ABC: Condition of victims at LAX unknown, says LAPD - live coverage: http://t.co/dseRaZYiuP"
1,The was a shooting in the LAX airport
1,RT @RobertTaylors: Shooting Reported at Los Angeles International Airport: There are reports of a shooting incident Friday mornin... http:/â€_
