target,tweet
1,"@MontesCb7 Waco, Texas!! I use to live near there, ilived in McKinney, tx near Plano where the D is made lol"
1,"Really? Another explosion, now in Texas? What the hell is wrong with people nowadays? Goddamn..."
1,"Explosion reported at fertilizer plant in West, McLennan Co."
1,RT @Donna4843: triage for injured at Reagan st in West Tx due to plt explosion  Multiple areas on fire including a school. http://t.co/t ...
1,RT @911BUFF: TEXAS: MASSIVE EXPLOSION U/D - LOCAL HOSPITALS NOTIFIED. EVERY AVAILABLE AMBULANCE DISPATCHED. REPORTS OF CASUALTIES. http: ...
1,"RT @firehat: Now tuned in to the massive explosion near Waco. Multiple buildings afire, including a school. Hospital in burning area. Un ..."
1,"RT @BreakingNews: Large explosion reported at fertilizer plant near Waco, Texas - @CBSDFW http://t.co/xOIyCyuxFD"
1,RT @OccupyCarlisle: Scanner traffic reports people are trapped in a building near Waco TX after explosion reported at fertilizer plant
1,"RT @brianstelter: A big explosion at a fertilizer plant in West, TX tonight. Most dramatic photo from the scene, by @AndyBartee: http:// ..."
1,RT @sudixitca: MT @RT_com BREAKING: Multiple casualties in #Texas fertilizer plant explosion - reports http://t.co/CXHwhVpdVk
1,"@wfaachannel8 McLennan co. dispatch asking more resources rescue trapped people in apartment #explosion at fertilizer plant in West, TX"
1,#waco #explosion http://t.co/4KzHKAsPop
1,RT @alexanderhall: RT @YourAnonNews: WACO TEXAS. FERTILIZER PLANT EXPLOSION. ALL UNITS REQUESTED. http://t.co/8VNtIGKtwk
1,"Their was another explosion in west texas, wth!"
1,"#EEUU.: ExplosiÃ_n en planta de fertilizantes cerca de Waco, Texas, provoca numerosos heridos. Foto @1ventura1  http://t.co/TbHtgiJBBy"
1,"RT @AP: BREAKING: Authorities: Fertilizer plant explodes near Waco, Texas, causing numerous injuries"
1,"RT @nycjim: Dallas Morning News reports part of town of West, Tex., was leveled in fertilizer plant explosion. http://t.co/XtLj5qA5Nx"
1,RT @AsiaBrown: RT @i__Cam: RT @NewsBreaker: BREAKING PHOTO: Building ablaze after explosion near Waco http://t.co/igcmAaL6hr
1,RT @YourAnonNews: WACO TEXAS. FERTILIZER PLANT EXPLOSION. ALL UNITS REQUESTED. http://t.co/MSwGbnmT1l
1,"AUDIO AS IT HAPPENED.  HORRIBLE EXPLOSION! WACO, TX. Fertilizer Plant Explodes, Rest Home Damaged, To Much More... http://t.co/1R8ZGEQMGZ"
1,RT @CBSNews: Explosion reported at a Texas fertilizer plant http://t.co/JPbI8sHlDl
1,"Man, that explosion in Waco, pray and hope everyone's not severely injured. :s"
1,RT @Afterseven: WACO EXPLOSION DISPATCH: People trapped IN the Fire  I need anybody and everybody you can send. http://t.co/8pMJsSwunm
1,"Explosion rips Texas fertilizer plant: An explosion ripped through a fertilizer plant Wednesday night in West,... http://t.co/vqrbOHGFDE"
1,RT @krisleeph: Injuries Building Damage in Fertilizer Plant Explosion - Dallas News | http://t.co/22O4K7bntG http://t.co/Gb66Xuei0r
1,"RT @AP: MORE: Authorities: Those injured in plant explosion near Waco, Texas, being taken to hospitals by troopers: http://t.co/fPPEpiHl ..."
1,RT @BreakingNews: Multiple injuries reported at Texas fertilizer plant explosion - @AP http://t.co/GwkDfSkqXR
1,"RT @BreakingNews: Large explosion reported at fertilizer plant near Waco, Texas - @CBSDFW http://t.co/xOIyCyuxFD"
1,"RT @zaidbenjamin: #Breaking: Explosion, injuries reported at fertilizer plant near #Waco, #Texas http://t.co/jnvuMEpYRp"
1,RT @BreakingNews: Multiple injuries reported at Texas fertilizer plant explosion - @AP http://t.co/GwkDfSkqXR
1,"@nestorflecha #news  more photo about the #explosion in Waco, #Texas http://t.co/tfcMKGvzr3"
1,Praying for West Texasâù_
1,RT @FoxNews: #BREAKING: Numerous injuries reported in large explosion at #Texas fertilizer plant http://t.co/oH93niFiAS
1,"@countmystars What the fuck is WITH this week. Between this, Boston, the explosion tonight in Waco..."
1,RT @AhmedMedien: Multiple injuries reported at #Texas #fertilizer plant explosion - http://t.co/Vyx44Pgka4
1,"RT @RealTonyRocha: #TopStories Breaking news: Explosion, injuries reported at fertilizer plant near Waco in â€_ http://t.co/SZMi3LLOfT #To ..."
1,Prayers #Waco #Texas #tx
1,RT @posh_jeterson: So many bad things happening this week. #boston #collinsvillewhitesboro #west
1,"LIVE VIDEO of situation in West, Texas from @CBSDFW - http://t.co/SIRFvkbChG"
1,RT @SafeFamiliesDFW: Please join us in praying for those injured &amp; effected by the fertilizer plant explosion in Waco #prayforwaco
1,Official: Several injured in Texas plant explosion http://t.co/c9PTjgIvQ4
1,Sending hope and prayers to the people in Waco Texas.
1,RT @la_la_laura15: Live for today cause tomorrow isn't promised. #PrayForBoston #PrayForWest #PrayForTheWorld
1,Another explosion in Waco TX omg whyyy
1,RT @AC360: #Breaking: reports of an explosion at #Texas fertilizer plant #AC360
1,"Explosion in Waco, Texas... things are getting real!"
1,Explosion In Waco :o Thats About 2 Hours From Here/.\
1,"RT @garytx: Anhydrous ammonia tank now on fire at West, TX fertilizer plant. That's bad stuff. #txfire"
1,"RT @CNN: Explosion hits fertilizer plant north of Waco, Texas. Dozens hurt. http://t.co/2p7iMgqRET"
1,"RT @rosemaryCNN: Aeiral shots on #CNN right now of aftermath of massive explsion at Texas fertilizer plant, north of Waco. About 100ppl  ..."
1,Texas is in HiGh Alert there was a Waco explosion I'm sooo scared pray people this is soo freighting omg I'm scared
1,Another explosion in Texas?? What's going on ? _Ÿ˜±_Ÿ˜±
1,"RT @BreakingNews: Large explosion reported at fertilizer plant near Waco, Texas - @CBSDFW http://t.co/xOIyCyuxFD"
1,#instacollage #prayforwest #prayforboston #sad http://t.co/DpYgyhiY6o
1,RT @AC360: #Breaking: explosion at #Texas fertilizer plant. Stay with us for the latest details. #AC360
1,I heard storms might be moving through Texas tonight? I hope they skip over Waco. Storms won't do the situation any good.
1,"RT @MiguelAJ: Sending thoughts and prayers to the people of West, TX. #westexplosion damn. :("
1,RT @911BUFF: TEXAS EXPLOSION: ANOTHER CHEMICAL TANK ON FIRE AT FERTILIZER PLANT. POLICE URGING EVERYONE IN 30 MILE RADIUS TO EVACUATE NO ...
1,"Holy shit... ANOTHER EXPLOSION in Waco, TX?!?!  Come on @BarackObama - can't you just make explosions illegal?"
1,RT @ovo_xo: Crazy.. #Waco #Texas http://t.co/7hkDeCckq7
1,RT @h3yvawn: what the fuck is happening in texas? what explosion? the world is getting crazier and crazier by the day man _Ÿ˜”
1,RT @NewsBreaker: BREAKING: CBS 11: Entire town of West Texas under evacuation; toxic fumes may be spreading south
1,Cientos de personas heridas en explosion de planta de fertilizantes en Texas
1,Here's our web story for the latest #WestExplosion http://t.co/9iRMHnrmXH
1,RT @NewsBreaker: BREAKING: CBS 11: Entire town of West Texas under evacuation; toxic fumes may be spreading south
1,RT @PoliceClips: Getting report out of Waco Texas of an explosion at a fertilizer plant with multiple injuries.1st responders injured2 h ...
1,RT @911BUFF: BREAKING NEWS - TEXAS EXPLOSION U/D - ENTIRE TOWN OF WEST TEXAS UNDER EVACUATION. TOXIC FUMES SPREADING. EMS COMMAND POST E ...
1,Fertilizer plant explosion near Waco caught on camera http://t.co/wg5tRbmTL9
1,RT @reyna6467: @MariaESalinas //WACO Texas explotion!!! http://t.co/V687GKwB6Q
1,"Praying for TX friends in West (15 min. N. of my hometown, Waco) as they fight to survive and recover from explosions at fertilizer plant"
1,UPDATE: Explosion at West plant injures firefighters http://t.co/AgU1Kp2GfL vÃ_a @wacotrib
1,"Correction: explosion occurred in #West, #TX, 18 miles north of #Waco. #westexplosion"
1,RT @YourAnonNews: Incredible still image taken from video capturing West Texas fertizlier plant explosion - (FOX 44) | http://t.co/PAAIz ...
1,@CauseIM_OB West Texas fertilizer plant exploded destroying every building for a mile
1,RT @foxaustin: An explosion at a fertilizer plant near Waco caused numerous injuries and sent flames into the sky http://t.co/2DZpZlsRi4
1,"RT @NewsBreaker: DEVELOPING: Scanner: Another chemical tank now on fire at the fertilizer explosion, fire dispatch â€_ advising crews to p ..."
1,"Ok universe, jokes over now. 2 ricin letters, Boston bombing, and fertilizer explosion now?!?"
1,"Getting live updates from @911BUFF on this Waco, Texas explosion #crazy"
1,RT @911BUFF: TEXAS EXPLOSION: HALF OF THE TOWN LEVELED! FERTILIZER THAT EXPLODED MOST DANGEROUS ONE IN THE PLANT. AT LEAST 5 DEAD! #911BUFF
1,"â€œ@BreakingNews: Texas authorities advise West, Texas, residences to leave town immediately following explosion. My god what's happening"
1,@Viridiana_bm todas las casas de al menos 4 manzanas resultaro averiada por explosion en texas
1,"RT @junkgypsy: texas, our texas. 4 west, 4 emergency workers, 4 loved ones...let us pray. #westexplosion"
1,What's going on with the world right now? #prayfortexas
1,Omg #prayfortexas .. OMG  @wanknoskians UM HELLO WHERE WHAT IS THIS WHERE R U DORA !
1,RT @yonkersoem40: RT @WestISD: Law enforcement is advising residents to leave town immediately  #WestExplosion #txfire #Waco #TX
1,"RT @NewsBreaker: BREAKING: KXXV-TV reporting five firefighters, one police officer dead due to explosion at fertilizer plant in West, TX ..."
1,"RT @YourAnonNews: Blair's Cove Apartments are offering housing, they have +25 units available. Their number is 254-447-0810 #WestExplosion"
1,"RT @cnnbrk: People in West, Texas, being evacuated over fear that fertilizer tank may explode, after major blast at same plant. http://t ..."
1,@cass_lc that was an explosion a few hours ago in the town of West near Waco. Hundreds injured. At least 60 dead http://t.co/FVkmwnvnNV
1,RT @wacotrib: News from Hillcrest hospital CEO on West explosion: 61 patients treated so far. No deaths at this time.
1,"RT @YourAnonNews: KWTV reporting 5 dead so far in #West, #Texas as a result of a fertilizer factory explosion. Over 60 injuries. #Waco # ..."
1,RT @pushingyayo: #prayforboston #prayfortexas #prayforhumanity
1,RT @CNN: Explosion at a Texas fertilizer plant may have injured more than 100. Details and video live on @CNN TV.
1,"RT @jessicadpeters: After seeing news on West explosion, @SusanPeters85 calls her closest friends &amp; goes 2 the hospital. So thankful ..."
1,"RT @KshaClark: A fertilizer plant exploded.... believing to have injured or killed hundreds. That's what I read, #PrayForTexas"
1,"60-70 reported dead in tonight's fertilizer plant explosion, hundreds more injured"
1,@BuzzFeedAndrew: EMS Director Says 60 To 70 Dead In West Explosion: http://t.co/aHKA41bBeP ll CNN confirming?
1,RT @911BUFF: BREAKING NEWS! TEXAS EXPLOSION: FIVE FIREFIGHTERS AND ONE POLICE OFFICER DEAD IN EXPLOSION AT FERTILIZER PLANT. FOX. 'PRAY  ...
1,RT @CNN: Explosion at a Texas fertilizer plant may have injured more than 100. Details and video live on @CNN TV.
1,"Se produjo una explosiÃ_n en una planta de fertilizantes en Waco, Texas http://t.co/1MDwsdroIB"
1,"Damn RT @NewsBreaker: BREAKING: KXXV-TV reporting five firefighters, one police officer dead due to explosion at fertilizer plant in West,TX"
1,RT @MissAndrist: #PrayForWest It was a fire -&gt; ammonium nitrate explosion. Vol. firefighter who told mgr was his employee. Now cannot ...
1,"Just heard about the explosion in #West. Totally shocked, Nick's grandparents live there. So sad. http://t.co/M31qUKWmRg"
1,"RT @prsarahevans: Able to offer housing to victims of #waco #westtexas explosion? Tweet, DM or email info and I'll compile a list: prsar ..."
1,Just heard about the explosion in #Waco that is spreading. I pray The Lord heals and keeps all safe! #prayfortexas
1,"RT @CBS11JasonAllen: Had to back off our location in #West. Fire, tank explosions too close. Working our way to a new location."
1,"RT @GaltsGirl: If you have family in #West, Texas the emergency number for information is 254-202-1100"
1,"RT @KHOU: #khou  BREAKING:  West EMS Director tells KWTX-TV as many as 60 or 70 people dead, hundreds injured in fertilizer plant explosion."
1,RT @BreakingNews: Multiple injuries reported at Texas fertilizer plant explosion - @AP http://t.co/GwkDfSkqXR
1,"RT @eyewitnessnyc: Fertilizer plant explodes in Texas, at least 200 injured, 40 critical condition http://t.co/Y58i9ctAp8"
1,"Increible! primero Boston, y ahora Texas!! #PrayForTexas.."
1,RT @DayoOkeniyi: Another Explosion in Texas??? America WTF??? This country is imploding
1,RT @ShannonPoe: Previous RT via @kwtx is hotline for #TX families to obtain information on family members https://t.co/4uZQundp2M #WestTX
1,What happened in west Texas?
1,RT @BMIDDY14: Prayers for Texas. Another big explosion...
